Time (s),Flame height (m)
260.2982456,0.902272727
260.3333333,0.736363636
260.3684211,0.761363636
260.4035088,0.872727273
260.4385965,0.638636364
260.4736842,0.731818182
260.5087719,0.865909091
260.5438596,0.972727273
260.5789474,0.915909091
260.6140351,1.086363636
260.6491228,1.272727273
260.6842105,1.315909091
260.7192982,0.438636364
260.754386,0.511363636
260.7894737,0.584090909
260.8245614,0.645454545
260.8596491,0.65
260.8947368,0.720454545
260.9298246,0.825
260.9649123,0.85036526
279,0.665909091
279.0350877,0.95
279.0701754,0.654545455
279.1052632,0.779545455
279.1403509,0.772727273
279.1754386,0.809090909
279.2105263,0.875
279.245614,0.740909091
279.2807018,0.706818182
279.3157895,0.775
279.3508772,0.918181818
279.3859649,0.904545455
279.4210526,0.681818182
279.4561404,0.693181818
279.4912281,0.845454545
279.5263158,0.679545455
279.5614035,0.797727273
279.5964912,0.943181818
279.6315789,0.984090909
279.6666667,0.740909091
279.7017544,0.902272727
279.7368421,0.859090909
279.7719298,0.984090909
279.8070175,1.156818182
279.8421053,0.822727273
279.877193,0.954545455
279.9122807,0.829545455
279.9473684,0.881818182
279.9824561,0.843181818
280.0175439,0.854545455
280.0526316,0.847727273
280.0877193,0.488636364
280.122807,0.547727273
280.1578947,0.579545455
280.1929825,0.568181818
280.2280702,0.663636364
280.2631579,0.759090909
280.2982456,0.836363636
280.3333333,0.881818182
280.3684211,1.045454545
280.4035088,0.902272727
280.4385965,1.090909091
280.4736842,1.272727273
280.5087719,0.761363636
280.5438596,0.913636364
280.5789474,0.627272727
280.6140351,0.665909091
280.6491228,0.763636364
280.6842105,0.881818182
280.7192982,0.718181818
280.754386,0.904545455
280.7894737,0.990909091
280.8245614,1.190909091
280.8596491,1.372727273
280.8947368,1.525
280.9298246,1.565909091
280.9649123,0.863798701
299,0.793181818
299.0350877,0.9
299.0701754,0.995454545
299.1052632,1.084090909
299.1403509,1.156818182
299.1754386,0.570454545
299.2105263,0.609090909
299.245614,0.706818182
299.2807018,0.640909091
299.3157895,0.743181818
299.3508772,0.840909091
299.3859649,0.804545455
299.4210526,0.972727273
299.4561404,0.920454545
299.4912281,0.986363636
299.5263158,1.045454545
299.5614035,1.181818182
299.5964912,1.320454545
299.6315789,0.995454545
299.6666667,0.931818182
299.7017544,1.052272727
299.7368421,0.615909091
299.7719298,0.731818182
299.8070175,0.668181818
299.8421053,0.704545455
299.877193,0.818181818
299.9122807,0.95
299.9473684,1.086363636
299.9824561,1.222727273
300.0175439,0.652272727
300.0526316,0.638636364
300.0877193,0.777272727
300.122807,0.829545455
300.1578947,0.922727273
300.1929825,0.927272727
300.2280702,0.984090909
300.2631579,1.165909091
300.2982456,0.9
300.3333333,0.627272727
300.3684211,0.479545455
300.4035088,0.590909091
300.4385965,0.554545455
300.4736842,0.565909091
300.5087719,0.777272727
300.5438596,0.854545455
300.5789474,0.979545455
300.6140351,1.052272727
300.6491228,1.172727273
300.6842105,1.084090909
300.7192982,0.747727273
300.754386,0.856818182
300.7894737,0.968181818
300.8245614,1.147727273
300.8596491,1.077272727
300.8947368,1.231818182
300.9298246,1.247727273
300.9649123,0.890422078
319,0.843181818
319.0350877,0.984090909
319.0701754,0.895454545
319.1052632,0.920454545
319.1403509,0.759090909
319.1754386,0.559090909
319.2105263,0.563636364
319.245614,0.613636364
319.2807018,0.602272727
319.3157895,0.613636364
319.3508772,0.736363636
319.3859649,0.802272727
319.4210526,0.918181818
319.4561404,0.947727273
319.4912281,0.754545455
319.5263158,1.081818182
319.5614035,0.834090909
319.5964912,0.745454545
319.6315789,0.813636364
319.6666667,0.704545455
319.7017544,0.65
