Test MM3,
Time (s),Flame Heights (m)
419.0357143,1.613924051
419.0714286,1.613924051
419.1071429,1.619620253
419.1428571,1.619620253
419.1785714,1.617721519
419.2142857,1.613924051
419.25,1.615822785
419.2857143,1.612025316
419.3214286,1.562658228
419.3571429,1.494303797
419.3928571,1.492405063
419.4285714,1.615822785
419.4642857,1.619620253
419.5,1.615822785
419.5357143,1.617721519
419.5714286,1.617721519
419.6071429,1.615822785
419.6428571,1.613924051
419.6785714,1.615822785
419.7142857,1.615822785
419.75,1.613924051
419.7857143,1.613924051
419.8214286,1.612025316
419.8571429,1.613924051
419.8928571,1.564556962
419.9285714,1.613924051
419.9642857,1.513291139
420,1.619620253
420.0357143,1.619620253
420.0714286,1.619620253
420.1071429,1.619620253
420.1428571,1.617721519
420.1785714,1.613924051
420.2142857,1.615822785
420.25,1.498101266
420.2857143,1.536075949
420.3214286,1.274050633
420.3571429,1.361392405
420.3928571,1.361392405
420.4285714,1.505696203
420.4642857,1.606329114
420.5,1.619620253
420.5357143,1.619620253
420.5714286,1.619620253
420.6071429,1.615822785
420.6428571,1.615822785
420.6785714,1.615822785
420.7142857,1.615822785
420.75,1.613924051
420.7857143,1.412658228
420.8214286,1.613924051
420.8571429,1.615822785
420.8928571,1.613924051
420.9285714,1.370886076
420.9642857,1.446835443
439,1.515189873
439.0357143,1.612025316
439.0714286,1.612025316
439.1071429,1.613924051
439.1428571,1.458227848
439.1785714,1.613924051
439.2142857,1.615822785
439.25,1.617721519
439.2857143,1.615822785
439.3214286,1.610126582
439.3571429,1.612025316
439.3928571,1.612025316
439.4285714,1.612025316
439.4642857,1.613924051
439.5,1.574050633
439.5357143,1.513291139
439.5714286,1.613924051
439.6071429,1.596835443
