Time (s),dp (N/m²),X O2 (%),X CO2 (%),T_MS1 (K),Light signal (-)
651,53.74581789,20.66703786,0.225468933,320.35,0.959830867
654,53.31630346,20.66337419,0.227098147,320.1833333,0.964411557
657,52.99981915,20.66500248,0.230899647,319.8833333,0.964763918
660,53.7571209,20.66500248,0.22963248,319.8166667,0.964411557
663,55.0795732,20.66011759,0.229813504,320.1833333,0.964763918
666,54.27705941,20.66194942,0.230356575,319.7166667,0.964059197
669,53.40672755,20.66846262,0.22963248,319.8166667,0.963002114
672,54.61614974,20.66459541,0.229451456,319.3166667,0.963002114
675,54.70657383,20.66154235,0.229994528,320.4166667,0.963706836
678,53.858848,20.66276357,0.232347837,320.0833333,0.963706836
681,53.77972692,20.66520602,0.230537599,319.7166667,0.961592671
684,53.84754499,20.66357772,0.231442718,320.35,0.963354475
687,53.7571209,20.65808221,0.23108067,320.3166667,0.964411557
690,53.74581789,20.66317065,0.231261694,319.8833333,0.963706836
693,53.74581789,20.66520602,0.23108067,320.45,0.960887949
696,53.40672755,20.66133881,0.229813504,320.25,0.959830867
699,53.32760647,20.65971051,0.230175551,320.05,0.960887949
702,53.41803056,20.66154235,0.232890908,320.45,0.961945032
705,54.20924134,20.66520602,0.231623742,320.8833333,0.966525722
708,54.28836242,20.66418833,0.228546337,320.1833333,0.961945032
711,54.18663532,20.6639848,0.230899647,320.6166667,0.960535588
714,53.80233294,20.66602017,0.229451456,320.15,0.964059197
717,54.20924134,20.66276357,0.228365313,320.75,0.960887949
720,53.41803056,20.65808221,0.230537599,320.3833333,0.96124031
723,52.9433041,20.66133881,0.230356575,321.15,0.961592671
726,53.36151551,20.66459541,0.230899647,320.95,0.963706836
729,53.40672755,20.66581663,0.231442718,320.35,0.963002114
732,53.41803056,20.66683432,0.226374052,319.7166667,0.960535588
735,53.32760647,20.66337419,0.225287909,321.4166667,0.955954898
738,53.01112216,20.6639848,0.229451456,320.65,0.963002114
741,53.01112216,20.66357772,0.232166813,320.45,0.960887949
744,52.95460711,20.65971051,0.231442718,320.6166667,0.959830867
747,53.32760647,20.65848929,0.232166813,320.75,0.962297393
750,53.74581789,20.66194942,0.231623742,320.95,0.959478506
753,53.84754499,20.66194942,0.23108067,320.95,0.959126145
756,53.32760647,20.66174589,0.230356575,320.55,0.96124031
759,53.33890949,20.66133881,0.230356575,320.7833333,0.958421424
762,53.76842391,20.66703786,0.230537599,321.0833333,0.959478506
765,53.41803056,20.66602017,0.229270432,320.7166667,0.961592671
768,53.31630346,20.66296711,0.229270432,320.55,0.960887949
771,53.42933357,20.65828575,0.229994528,321.0833333,0.957716702
774,53.66669681,20.66032113,0.230356575,321.1833333,0.962297393
777,53.84754499,20.66439187,0.230175551,321.15,0.960535588
780,53.84754499,20.66215296,0.228908385,321.0166667,0.958773784
783,53.30500045,20.66154235,0.227822242,321.2833333,0.960535588
786,53.7571209,20.66459541,0.23108067,320.65,0.960887949
789,54.27705941,20.66520602,0.228546337,320.8833333,0.960535588
792,54.19793833,20.66357772,0.230899647,321.3833333,0.959830867
795,54.19793833,20.65991405,0.23108067,321.2166667,0.95701198
798,53.83624197,20.6656131,0.226736099,320.7833333,0.959478506
801,52.90939506,20.66724139,0.226917123,321.35,0.959478506
804,52.90939506,20.6607282,0.233071932,321.65,0.958773784
807,52.89809205,20.65706453,0.232528861,321.85,0.960183228
810,52.88678904,20.6590999,0.233071932,321.2166667,0.96124031
813,52.93200109,20.66296711,0.231261694,321.4166667,0.959478506
816,52.88678904,20.66378126,0.230899647,321.3166667,0.961945032
819,53.7571209,20.66154235,0.230175551,321.8166667,0.960535588
822,53.42933357,20.66317065,0.229451456,321.05,0.960183228
825,53.87015101,20.66703786,0.22818429,321.4833333,0.959126145
828,53.42933357,20.66540956,0.228003266,320.95,0.959478506
831,52.98851614,20.66215296,0.227279171,322.0833333,0.958069063
834,53.7571209,20.66907323,0.229813504,321.8166667,0.957364341
837,53.83624197,20.66276357,0.231442718,321.5166667,0.961592671
840,53.76842391,20.66317065,0.232347837,321.8833333,0.959830867
843,53.40672755,20.6623565,0.232528861,321.3833333,0.958773784
846,53.42933357,20.66032113,0.232528861,322.3833333,0.958773784
849,53.40672755,20.66133881,0.233071932,321.6166667,0.963002114
852,53.40672755,20.65930344,0.233796027,321.7166667,0.958069063
855,53.84754499,20.65848929,0.235787289,321.8166667,0.957364341
858,54.17533231,20.66683432,0.227822242,321.1166667,0.955954898
861,53.41803056,20.66988738,0.22818429,321.0166667,0.958069063
864,53.42933357,20.66317065,0.23108067,322.0166667,0.955250176
867,53.32760647,20.66032113,0.23108067,321.5833333,0.955954898
870,53.47454562,20.6639848,0.231442718,322.3833333,0.955250176
873,52.99981915,20.66540956,0.230718623,321.95,0.956659619
876,53.33890949,20.65848929,0.231623742,321.2166667,0.958069063
879,53.42933357,20.66276357,0.229994528,321.85,0.958069063
882,53.84754499,20.6639848,0.229270432,322.2833333,0.957716702
885,54.19793833,20.66459541,0.228365313,321.35,0.959126145
888,53.40672755,20.66113527,0.230175551,322.2166667,0.958421424
891,53.3502125,20.66581663,0.230899647,321.7166667,0.956659619
894,54.65005878,20.66459541,0.227460195,322.15,0.956307259
897,54.81960394,20.66317065,0.227641218,321.55,0.957364341
900,54.61614974,20.65971051,0.229813504,322.0833333,0.956307259
903,54.28836242,20.66479895,0.23108067,322.45,0.95701198
906,54.62745275,20.66622371,0.229813504,321.75,0.958773784
909,54.20924134,20.66113527,0.229994528,322.3166667,0.956307259
912,54.22054435,20.66337419,0.23108067,321.95,0.955602537
915,53.76842391,20.66642725,0.229994528,322.55,0.955954898
918,53.42933357,20.66378126,0.230356575,322.8166667,0.955602537
921,53.01112216,20.65767514,0.230718623,322.25,0.954897815
924,53.29369744,20.66703786,0.229270432,321.2833333,0.958069063
927,53.84754499,20.67049799,0.22963248,322.0833333,0.957364341
930,53.4519396,20.654215,0.231261694,323.0166667,0.953840733
933,53.87015101,20.66133881,0.23108067,321.4833333,0.957364341
936,53.7571209,20.66378126,0.229451456,321.95,0.955602537
939,53.32760647,20.66032113,0.230537599,322.4833333,0.955954898
942,53.73451487,20.66113527,0.229994528,321.6833333,0.95701198
945,53.76842391,20.6639848,0.229089409,321.8166667,0.957716702
948,53.74581789,20.6639848,0.231261694,322.1833333,0.95701198
951,53.3502125,20.65991405,0.231804766,322.0833333,0.953840733
954,53.42933357,20.66154235,0.230537599,321.9166667,0.957716702
957,53.42933357,20.66581663,0.227641218,322.2833333,0.956307259
960,53.74581789,20.66459541,0.230175551,322.2166667,0.955602537
963,53.84754499,20.66052466,0.231442718,322.25,0.953488372
966,54.20924134,20.66194942,0.232528861,322.1166667,0.955602537
969,53.7571209,20.67151568,0.228546337,321.5833333,0.954897815
972,54.17533231,20.66317065,0.233252956,322.7833333,0.952078929
975,54.19793833,20.66052466,0.233615003,322.0166667,0.959478506
978,54.18663532,20.66194942,0.227822242,322.3166667,0.955250176
981,54.19793833,20.6639848,0.22963248,321.6166667,0.956659619
984,53.74581789,20.66093174,0.231442718,322.0833333,0.953488372
987,53.7571209,20.65726806,0.230899647,323.25,0.954193094
990,53.44063659,20.66154235,0.231442718,322.15,0.956659619
993,54.20924134,20.66113527,0.230718623,322.85,0.954193094
996,53.858848,20.6607282,0.232347837,322.35,0.956659619
999,53.84754499,20.6607282,0.23343398,322.1833333,0.955602537
1002,53.40672755,20.66581663,0.232890908,322.65,0.956307259
1005,53.07894023,20.66683432,0.226374052,322.3833333,0.956659619
1008,53.32760647,20.66174589,0.227641218,322.3166667,0.955954898
1011,53.41803056,20.65787868,0.231985789,323.1166667,0.955602537
1014,53.84754499,20.66052466,0.229994528,322.85,0.956659619
1017,53.33890949,20.66500248,0.231261694,322.5833333,0.954897815
1020,53.42933357,20.6623565,0.230356575,322.95,0.954193094
1023,54.29966543,20.6590999,0.228908385,322.5166667,0.953840733
1026,53.87015101,20.65930344,0.228365313,322.95,0.954897815
1029,53.858848,20.66540956,0.231623742,322.55,0.955602537
1032,54.18663532,20.66337419,0.23108067,322.3833333,0.955602537
1035,53.7571209,20.66052466,0.229089409,322.7833333,0.955250176
1038,53.44063659,20.66032113,0.230718623,322.55,0.955250176
1041,53.83624197,20.66317065,0.230718623,322.5166667,0.955602537
1044,53.44063659,20.66418833,0.229451456,322.35,0.956307259
1047,53.44063659,20.65665745,0.228727361,322.75,0.956307259
1050,53.41803056,20.65543623,0.230356575,322.9833333,0.955954898
1053,52.99981915,20.6639848,0.230899647,322.5166667,0.954545455
